action_from,action_to,count
creating,emotion_perception,2
applying,concretizing,5
emotion_organizing,abstracting,2
emotion_organizing,emotion_receiving,1
emotion_organizing,emotion_characterizing,1
emotion_receiving,accepting,1
zooming_in,emotion_characterizing,1
attentional_deployment,connecting,2
connecting,creating,2
creating,emotion_management,1
updating_beliefs,analyzing,3
zooming_in,creating,2
accepting,concretizing,1
accepting,situation_modification,1
metacognitive_regulation,zooming_out,2
suspending_judgment,pattern_recognition,2
suspending_judgment,remembering,1
emotion_facilitation,metacognitive_monitoring,3
emotion_responding,situation_modification,3
situation_modification,emotion_responding,3
remembering,situation_modification,6
concretizing,updating_beliefs,2
cognition_awareness,updating_beliefs,4
meta_awareness,connecting,2
metacognitive_regulation,concretizing,2
metacognitive_regulation,attentional_deployment,1
updating_beliefs,emotion_facilitation,1
updating_beliefs,cognition_awareness,2
emotion_facilitation,emotion_receiving,1
applying,updating_beliefs,1
emotion_organizing,divergent_thinking,3
emotion_perception,emotion_organizing,2
emotion_organizing,analyzing,1
emotion_organizing,applying,1
emotion_organizing,concretizing,1
emotion_management,concretizing,2
analyzing,meta_awareness,2
applying,meta_awareness,2
applying,emotion_facilitation,2
concretizing,meta_awareness,2
metacognitive_regulation,creating,1
meta_awareness,creating,1
emotion_perception,metacognitive_regulation,1
analyzing,emotion_organizing,3
zooming_out,emotion_organizing,1
creating,emotion_organizing,1
creating,emotion_valuing,1
creating,emotion_characterizing,1
connecting,updating_beliefs,2
suspending_judgment,analyzing,2
zooming_in,accepting,1
concretizing,situation_modification,1
meta_awareness,convergent_thinking,3
situation_modification,emotion_perception,1
abstracting,suspending_judgment,2
creating,perspective_taking,3
meta_awareness,applying,1
situation_modification,meta_awareness,1
situation_modification,suspending_judgment,1
situation_modification,metacognitive_regulation,1
situation_selection,meta_awareness,2
situation_selection,suspending_judgment,3
meta_awareness,zooming_out,2
suspending_judgment,meta_awareness,1
suspending_judgment,zooming_out,1
metacognitive_regulation,meta_awareness,1
metacognitive_regulation,emotion_facilitation,1
remembering,accepting,2
creating,applying,3
metacognitive_regulation,accepting,1
pattern_recognition,accepting,3
accepting,metacognitive_regulation,1
emotion_organizing,accepting,1
suspending_judgment,zooming_in,1
accepting,situation_selection,1
emotion_characterizing,emotion_organizing,1
metacognitive_regulation,situation_modification,1
meta_awareness,emotion_receiving,1
creating,suspending_judgment,1
creating,metacognitive_regulation,1
emotion_facilitation,zooming_in,2
emotion_facilitation,connecting,1
creating,emotion_receiving,1
meta_awareness,analyzing,1
concretizing,connecting,1
concretizing,emotion_management,1
attentional_deployment,metacognitive_regulation,1
meta_awareness,attentional_deployment,1
updating_beliefs,zooming_out,1
updating_beliefs,emotion_characterizing,1
situation_modification,applying,1
emotion_characterizing,metacognitive_regulation,1
concretizing,emotion_receiving,1
metacognitive_regulation,metacognitive_regulation,1
suspending_judgment,distinguishing,1
